2020-04-24 14:05:16 : Application loaded;	
2020-04-24 14:57:45 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:46 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:47 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:48 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:49 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:50 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:51 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:52 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:53 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:54 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:55 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:56 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:57 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:58 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:59 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:00 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:01 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:02 : OPC Server : Disconnect;	
2020-04-24 14:58:02 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:04 : Application closed;	
2020-04-24 14:58:41 : Application loaded;	
2020-04-24 14:58:52 : OPC Server : Connect;	
2020-04-24 14:58:52 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:52 : Item = New Alias 1.TCFrnExh_Exit_1; Value = MN; Timestamp : 4/24/2020 2:05:52 PM; 	
2020-04-24 14:58:53 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:54 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:55 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:56 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:57 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:58 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:58:59 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:00 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:01 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:02 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:03 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:04 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:05 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:06 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:07 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:08 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:09 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:10 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:11 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:12 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:13 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:14 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:15 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:59:16 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
